02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2727 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2727 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2727 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2727 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2727 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2727 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2727 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2727 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2727 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2705 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2705 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2705 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2705 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2705 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2705 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2705 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2705 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2705 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2705 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2600 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2600 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2600 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2600 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2600 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2600 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2600 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2600 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2600 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2600 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2599 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2599 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2599 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2599 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2599 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2599 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2599 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2599 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2599 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2599 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2482 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2482 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2482 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2482 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2482 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2482 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2482 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2482 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2482 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2482 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:204 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:204 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:204 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:204 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:204 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:204 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:204 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:204 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:204 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:204 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:112 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:112 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:112 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:112 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:112 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:112 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:111 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:111 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:111 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:111 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:111 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:111 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:111 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:111 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:111 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:111 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:110 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:110 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:110 already exists
